datetime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Hour,Weekday,Month,T_lag1,T_lag3,T_lag6,T_lag24,RH_lag1,RH_lag3,RH_lag6,RH_lag24,AH_lag1,AH_lag3,AH_lag6,AH_lag24,C6H6(GT)_lag1,C6H6(GT)_lag3,C6H6(GT)_lag6,C6H6(GT)_lag24,C6H6(GT)_rollmean_3,C6H6(GT)_rollmean_24,CO(GT)_lag1,CO(GT)_lag3,CO(GT)_lag6,CO(GT)_lag24,CO(GT)_rollmean_3,CO(GT)_rollmean_24
2004-03-11 18:00:00,4.8,1581.0,307.0,20.8,1319.0,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065,18,3,3,9.8,8.3,9.5,13.6,67.6,79.8,66.8,48.9,0.8185,0.8778,0.7951,0.7578,11.2,8.8,5.2,11.9,13.433333333333332,6.616666666666667,2.9,2.2,1.6,2.6,3.2999999999999994,1.7458333333333333
2004-03-11 19:00:00,6.9,1776.0,461.0,27.4,1488.0,383.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319,19,3,3,10.3,9.7,8.3,13.3,64.2,71.2,76.4,47.7,0.8065,0.8569,0.8393,0.7255,20.8,8.3,7.3,9.4,19.8,7.366666666666666,4.8,2.2,1.9,2.0,4.866666666666666,1.95
2004-03-11 20:00:00,6.1,1640.0,401.0,24.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133,20,3,3,9.7,9.8,8.0,11.9,69.3,67.6,81.1,54.0,0.8319,0.8185,0.8736,0.7502,27.4,11.2,11.5,9.0,24.066666666666666,7.991666666666666,6.9,2.9,2.9,2.2,5.933333333333333,2.1125000000000003
2004-03-11 21:00:00,3.9,1313.0,197.0,12.8,1076.0,240.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419,21,3,3,9.6,10.3,8.3,11.0,67.8,64.2,79.8,60.0,0.8133,0.8065,0.8778,0.7867,24.0,20.8,8.8,9.2,21.400000000000002,8.141666666666667,6.1,4.8,2.2,2.2,5.633333333333333,2.183333333333333
2004-03-11 22:00:00,1.5,965.0,61.0,4.7,749.0,94.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905,22,3,3,9.1,9.7,9.7,11.2,64.0,69.3,71.2,59.6,0.7419,0.8319,0.8569,0.7888,12.8,27.4,8.3,6.5,13.833333333333334,8.066666666666666,3.9,6.9,2.2,1.6,3.8333333333333335,2.1791666666666667
2004-03-11 23:00:00,1.0,913.0,26.0,2.6,629.0,47.0,1565.0,53.0,1252.0,552.0,8.2,60.8,0.6657,23,3,3,8.2,9.6,9.8,11.2,63.4,67.8,67.6,59.2,0.6905,0.8133,0.8185,0.7848,4.7,24.0,11.2,4.7,6.7,7.979166666666667,1.5,6.1,2.9,1.2,2.1333333333333333,2.1708333333333334
2004-03-12 00:00:00,1.7,1080.0,55.0,5.9,805.0,122.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438,0,4,3,8.2,9.1,10.3,11.3,60.8,64.0,64.2,56.8,0.6657,0.7419,0.8065,0.7603,2.6,12.8,20.8,3.6,4.4,8.075,1.0,3.9,4.8,1.2,1.4000000000000001,2.191666666666667
2004-03-12 01:00:00,1.9,1044.0,53.0,6.4,829.0,133.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308,1,4,3,8.3,8.2,9.7,10.7,58.5,63.4,69.3,60.0,0.6438,0.6905,0.8319,0.7702,5.9,4.7,27.4,3.3,4.966666666666667,8.204166666666667,1.7,1.5,6.9,1.0,1.5333333333333332,2.2291666666666665
2004-03-12 02:00:00,1.4,988.0,40.0,4.1,718.0,82.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276,2,4,3,7.7,8.2,9.6,10.7,59.7,60.8,67.8,59.7,0.6308,0.6657,0.8133,0.7648,6.4,2.6,24.0,2.3,5.466666666666666,8.279166666666667,1.9,1.0,6.1,0.9,1.6666666666666667,2.25
2004-03-12 03:00:00,0.8,889.0,21.0,1.9,574.0,51.5,1680.0,61.5,1187.0,512.0,7.0,62.3,0.6261,3,4,3,7.1,8.3,9.1,10.3,61.8,58.5,64.0,60.2,0.6276,0.6438,0.7419,0.7517,4.1,5.9,12.8,1.7,4.133333333333334,8.2875,1.4,1.7,3.9,0.6,1.3666666666666665,2.2583333333333333
