target_column,model,time_horizon,rmse,improvement_%
C6H6(GT),reg_linear_C6H6(GT)_long,_01h,4.761506786589766,-26.497414972344508
C6H6(GT),reg_linear_C6H6(GT)_long_anomaly,_01h,5.0004640375216205,-32.84571518204067
C6H6(GT),reg_linear_C6H6(GT)_short,_01h,4.948642091174693,-31.468978248642987
C6H6(GT),reg_linear_C6H6(GT)_short_anomaly,_01h,5.177379185759664,-37.54576286118929
C6H6(GT),reg_nn_C6H6(GT)_long,_01h,4.723169180808096,-25.478912165361567
C6H6(GT),reg_nn_C6H6(GT)_long_anomaly,_01h,5.003124036760035,-32.91638252382321
C6H6(GT),reg_nn_C6H6(GT)_short,_01h,4.926460544370199,-30.879688249359766
C6H6(GT),reg_nn_C6H6(GT)_short_anomaly,_01h,4.896535815793943,-30.084687637514236
C6H6(GT),reg_linear_C6H6(GT)_long,_06h,4.761506786589766,43.9192407652364
C6H6(GT),reg_linear_C6H6(GT)_long_anomaly,_06h,5.0004640375216205,41.10481569822769
C6H6(GT),reg_linear_C6H6(GT)_short,_06h,4.948642091174693,41.715171668809084
C6H6(GT),reg_linear_C6H6(GT)_short_anomaly,_06h,5.177379185759664,39.02111902866438
C6H6(GT),reg_nn_C6H6(GT)_long,_06h,4.723169180808096,44.370778930746184
C6H6(GT),reg_nn_C6H6(GT)_long_anomaly,_06h,5.003124036760035,41.07348637674604
C6H6(GT),reg_nn_C6H6(GT)_short,_06h,4.926460544370199,41.97642467999893
C6H6(GT),reg_nn_C6H6(GT)_short_anomaly,_06h,4.896535815793943,42.32887645076552
C6H6(GT),reg_linear_C6H6(GT)_long,_12h,4.761506786589766,45.377457390963905
C6H6(GT),reg_linear_C6H6(GT)_long_anomaly,_12h,5.0004640375216205,42.63621324162779
C6H6(GT),reg_linear_C6H6(GT)_short,_12h,4.948642091174693,43.23069868484724
C6H6(GT),reg_linear_C6H6(GT)_short_anomaly,_12h,5.177379185759664,40.60669702839195
C6H6(GT),reg_nn_C6H6(GT)_long,_12h,4.723169180808096,45.81725462305763
C6H6(GT),reg_nn_C6H6(GT)_long_anomaly,_12h,5.003124036760035,42.605698547802405
C6H6(GT),reg_nn_C6H6(GT)_short,_12h,4.926460544370199,43.485158573232816
C6H6(GT),reg_nn_C6H6(GT)_short_anomaly,_12h,4.896535815793943,43.82844586336626
C6H6(GT),reg_linear_C6H6(GT)_long,_24h,4.761506786589766,20.574850352651843
C6H6(GT),reg_linear_C6H6(GT)_long_anomaly,_24h,5.0004640375216205,16.58888198901656
C6H6(GT),reg_linear_C6H6(GT)_short,_24h,4.948642091174693,17.453307060343498
C6H6(GT),reg_linear_C6H6(GT)_short_anomaly,_24h,5.177379185759664,13.637817808395452
C6H6(GT),reg_nn_C6H6(GT)_long,_24h,4.723169180808096,21.214347514538908
C6H6(GT),reg_nn_C6H6(GT)_long_anomaly,_24h,5.003124036760035,16.544511404862845
C6H6(GT),reg_nn_C6H6(GT)_short,_24h,4.926460544370199,17.823310244906505
C6H6(GT),reg_nn_C6H6(GT)_short_anomaly,_24h,4.896535815793943,18.322474932021805
