target_column,model,time_horizon,rmse,improvement_%
C6H6(GT),reg_linear_C6H6(GT)_long,_01h,4.761506786589766,-26.497414972344508
C6H6(GT),reg_linear_C6H6(GT)_short,_01h,4.948642091174693,-31.468978248642987
C6H6(GT),reg_nn_C6H6(GT)_long,_01h,4.723169180808096,-25.478912165361567
C6H6(GT),reg_nn_C6H6(GT)_short,_01h,4.926460544370199,-30.879688249359766
C6H6(GT),reg_linear_C6H6(GT)_long,_06h,4.761506786589766,43.9192407652364
C6H6(GT),reg_linear_C6H6(GT)_short,_06h,4.948642091174693,41.715171668809084
C6H6(GT),reg_nn_C6H6(GT)_long,_06h,4.723169180808096,44.370778930746184
C6H6(GT),reg_nn_C6H6(GT)_short,_06h,4.926460544370199,41.97642467999893
C6H6(GT),reg_linear_C6H6(GT)_long,_12h,4.761506786589766,45.377457390963905
C6H6(GT),reg_linear_C6H6(GT)_short,_12h,4.948642091174693,43.23069868484724
C6H6(GT),reg_nn_C6H6(GT)_long,_12h,4.723169180808096,45.81725462305763
C6H6(GT),reg_nn_C6H6(GT)_short,_12h,4.926460544370199,43.485158573232816
C6H6(GT),reg_linear_C6H6(GT)_long,_24h,4.761506786589766,20.574850352651843
C6H6(GT),reg_linear_C6H6(GT)_short,_24h,4.948642091174693,17.453307060343498
C6H6(GT),reg_nn_C6H6(GT)_long,_24h,4.723169180808096,21.214347514538908
C6H6(GT),reg_nn_C6H6(GT)_short,_24h,4.926460544370199,17.823310244906505
CO(GT),reg_linear_CO(GT)_long,_01h,1.0879876114507274,-33.39762801692856
CO(GT),reg_linear_CO(GT)_short,_01h,1.1217597210393095,-37.53840982807205
CO(GT),reg_nn_CO(GT)_long,_01h,1.118193363716716,-37.10114050396604
CO(GT),reg_nn_CO(GT)_short,_01h,1.1470125058005047,-40.63464139588714
CO(GT),reg_linear_CO(GT)_long,_06h,1.0879876114507274,39.60354520674129
CO(GT),reg_linear_CO(GT)_short,_06h,1.1217597210393095,37.72878517402362
CO(GT),reg_nn_CO(GT)_long,_06h,1.118193363716716,37.92676108527818
CO(GT),reg_nn_CO(GT)_short,_06h,1.1470125058005047,36.32695057849938
CO(GT),reg_linear_CO(GT)_long,_12h,1.0879876114507274,39.83922803603376
CO(GT),reg_linear_CO(GT)_short,_12h,1.1217597210393095,37.97178380935583
CO(GT),reg_nn_CO(GT)_long,_12h,1.118193363716716,38.168987166607735
CO(GT),reg_nn_CO(GT)_short,_12h,1.1470125058005047,36.575419540604976
CO(GT),reg_linear_CO(GT)_long,_24h,1.0879876114507274,15.462426600169241
CO(GT),reg_linear_CO(GT)_short,_24h,1.1217597210393095,12.838304631165379
CO(GT),reg_nn_CO(GT)_long,_24h,1.118193363716716,13.115413663249633
CO(GT),reg_nn_CO(GT)_short,_24h,1.1470125058005047,10.876141530380526
NMHC(GT),reg_linear_NMHC(GT)_long,_01h,175.55538551893204,-3.98732137170596
NMHC(GT),reg_linear_NMHC(GT)_short,_01h,168.16785568002197,0.38855942073469224
NMHC(GT),reg_nn_NMHC(GT)_long,_01h,154.37228801126335,8.560135156994942
NMHC(GT),reg_nn_NMHC(GT)_short,_01h,152.74431611238415,9.52443731458726
NMHC(GT),reg_linear_NMHC(GT)_long,_06h,175.55538551893204,42.73795339713441
NMHC(GT),reg_linear_NMHC(GT)_short,_06h,168.16785568002197,45.147592250794695
NMHC(GT),reg_nn_NMHC(GT)_long,_06h,154.37228801126335,49.64738265270322
NMHC(GT),reg_nn_NMHC(GT)_short,_06h,152.74431611238415,50.17838887883648
NMHC(GT),reg_linear_NMHC(GT)_long,_12h,175.55538551893204,41.61871737972033
NMHC(GT),reg_linear_NMHC(GT)_short,_12h,168.16785568002197,44.07545470006102
NMHC(GT),reg_nn_NMHC(GT)_long,_12h,154.37228801126335,48.66319738078975
NMHC(GT),reg_nn_NMHC(GT)_short,_12h,152.74431611238415,49.204582580938386
NMHC(GT),reg_linear_NMHC(GT)_long,_24h,175.55538551893204,15.082492407591207
NMHC(GT),reg_linear_NMHC(GT)_short,_24h,168.16785568002197,18.65589814123155
NMHC(GT),reg_nn_NMHC(GT)_long,_24h,154.37228801126335,25.328921693260753
NMHC(GT),reg_nn_NMHC(GT)_short,_24h,152.74431611238415,26.116384383024798
NO2(GT),reg_linear_NO2(GT)_long,_01h,47.581960562202994,-86.72961797695531
NO2(GT),reg_linear_NO2(GT)_short,_01h,47.98025256660473,-88.29266651355326
NO2(GT),reg_nn_NO2(GT)_long,_01h,49.60148687897586,-94.65500342071866
NO2(GT),reg_nn_NO2(GT)_short,_01h,48.9522585062048,-92.1071856218102
NO2(GT),reg_linear_NO2(GT)_long,_06h,47.581960562202994,27.873464905959565
NO2(GT),reg_linear_NO2(GT)_short,_06h,47.98025256660473,27.269718824593227
NO2(GT),reg_nn_NO2(GT)_long,_06h,49.60148687897586,24.81219054821981
NO2(GT),reg_nn_NO2(GT)_short,_06h,48.9522585062048,25.796315465718813
